tags,phase,section,topic,prompt
IS・キャリア エントリー,IS・キャリア エントリー,IS・キャリアのエントリーに関するニーズ,手間をかけずにエントリーを集めたい,"インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつエントリーにかける手間やコストが多い、エントリーをさばききれない、という言葉が発言されている。
あるいはその裏返しとして、エントリーを集める手間やコストを減らしたい、という言葉が発言されている。"
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,求める学生から認知されていない,"インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ知られていない・認知されていない・見つけてもらえない・発見されない、という言葉が発言されている。
あるいは、知られたい・認知されたい・見つけてもらいたい・発見されたい、という言葉が発言されている"
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,マイナビ内で表示される機会が少ない,"インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつマイナビ内で表示される機会が少ない、学生の目に触れる機会が少ないということが発言されている。
あるいはその裏返しとして、マイナビ内で表示する機会を増やせる可能性が語られている。
例えば、上位に表示される、特定の検索にひっかかる、という発言。"
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,マイナビ内で表示はされているが、印象に残らず認知に至っていない,"インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ目立たない・印象に残らない・記憶に残らない・埋もれている・強調されていない、という言葉が発言されている。
あるいは、目立ちたい・印象に残りたい・記憶に残りたい・埋もれないようにしたい・強調したい、という言葉が発言されている。"
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,受動的な学生へのアプローチが弱い,"インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつこちらからアプローチできていない、学生に対して動けていない、積極的にできていない、というニュアンスの言葉が発言されている。
あるいは、こちらからアプローチしたい、学生に対して動きたい、積極的にいきたい、というニュアンスの言葉が発言されている。"
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,アプローチのタイミングが悪い,"インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつDMやスカウトやダイレクトメールサービス（紙）のタイミングに関する発言がされている。
DMやスカウトやダイレクトメールサービス（紙）をいつ送るか、ポイントをいつ使い切るか、という発言がある。"
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,自社に反応を示しやすい学生を逃している,"インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつDMやスカウトやダイレクトメールサービス（紙）について、どのような学生が反応しやすいかについて話されている。
反応を上げるために、行動履歴（見たユーザー、同業界にエントリーしているユーザー、等）に基づくことについて発言されている。"
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,受動的な学生が目にする情報は限られている,"インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ受動的な学生はナビ上で検索やメールチェックをしないため、検索条件の追加・検索連動型企画（上位表示）・発信系企画（）・情報拡充系施策（）といった内容ではアプローチできない/気付かれないという内容が話されている。
あるいは、紙の郵送であれば学生の目にする機会があるという内容が話されている。
受動的な学生とは、自身で企業を探さない、探しても第一志望群までしか探さない学生のこと。"
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,家族を味方につけられていない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ学生本人だけでなく家族が応援/反対することがある・特にIS期間は家族も気にしている・家族の意見を参考にすることがある、という発言がされている。
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,既に学生の方向性が固まっているため、該当条件（地域、業界）で検索されない,"インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ早いタイミングで学生の志望が固まってしまう旨の発言がされている。
そのため、地方企業ほど早めの対応が必要なこと、業界によっては早めの対応が必要なことが発言されている。
また、採用が早期化
理系学生はより就活が早期化していている傾向があることが"
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,プレサマー期間に学生にアプローチできていない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつプレサマー(インターンシップサマー、プレナビサマー)期間に学生にアプローチ（掲載、情報公開、認知獲得）ができていない/したいという言葉の発言がある。
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,1-2年生から早期にアプローチできていない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,目的外の学生に偶然目にしてもらう機会がない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,業界や企業に先入観を持たれている,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,マイナビ基本サイト内ではターゲットの数が少ない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,ターゲットは特定テーマのナビ・イベントを活用している,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,トータルの広報設計ができていない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,認知はされたがエントリーされない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,すぐISに繋がるイメージがない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,文章・画像が分かりづらい・魅力を感じない・他社との差別化を感じない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,画面を作る時間がない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,マイナビ外のサイトに情報がない/学生向けではない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,興味はあったがエントリー忘れ,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,既に学生の第一志望群が固まっている,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリー数を増やせていない要因,プレ期間の中でも早いタイミングで学生にアプローチできていない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,不要なエントリーを減らせていない要因,募集要項が不適切,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,不要なエントリーを減らせていない要因,誰でもエントリーできるようになっている,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,不要なエントリーを減らせていない要因, ES提出がいらない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,不要なエントリーを減らせていない要因,エントリー期間が長い,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリーを集めることに手間がかかっている要因,採用管理で行うべきことが分かっていない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリーを集めることに手間がかかっている要因,自社で時間を割くべきところが分かっていない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,エントリーを集めることに手間がかかっている要因,採用管理でアウトソーシングできる内容が分かっていない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,検索連動型企画,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ検索連動型企画、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,発信系企画,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ発信系企画、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,業種付与/キーワード追加,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ業種付与/キーワード追加、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,情報拡充系企画,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ情報拡充系企画、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,伝言板機能/企業キャッチ,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ伝言板機能/企業キャッチ、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,活動状況の設定,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ活動状況の設定、活動状況という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,DM,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつDM、ダイレクトメール、ダイレクトスカウトという言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,ダイレクトメールサービス(紙),インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつダイレクトメールサービス(紙)、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,インターンシップ&キャリア[サマー],インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつサマーのご提案、サマーの申込、という言葉が発言されている
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,インターンシップ&キャリア発見EXPO,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつインターンシップ&キャリア発見EXPO、イベント、EXPOという言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,My CareerStudy,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつMy CareerStudy、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,マイナビ就活ガイドブック,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつマイナビ就活ガイドブック、就活ガイドブック、就活ガイドという言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,掲載内容更新,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ掲載内容更新、掲載文章の記載・追加・追記・修正・入れる、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,国際ナビ/ グローバル採用サービス,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ国際ナビ/ グローバル採用サービス、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,テーマ毎イベント,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつテーマ毎イベント、理系イベント、建築土木イベント、建築イベント、土木イベントという言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,広報設計・制作サービス,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ広報設計・制作サービス、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,セミナー設定,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつセミナー設定、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,取材,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ取材、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,検討リスト通知,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ検討リスト通知、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,募集要項調整,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ募集要項調整、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,エントリー条件調整,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつエントリー条件調整、という言葉が発言されている。
IS・キャリア エントリー,IS・キャリア エントリー,ソリューション,マイナビアウトソーシング（DMスカウト配信代行）,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつマイナビアウトソーシング（DMスカウト配信代行）、という言葉が発言されている。
説明会申込,説明会申込,説明会申込が本当に課題か明らかにしたい,目標人数,説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ説明会への申込の目標人数に言及している。
説明会申込,説明会申込,説明会申込が本当に課題か明らかにしたい,実績,説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ説明会への申込の実績に言及している
説明会申込,説明会申込,説明会申込が本当に課題か明らかにしたい,目標が妥当でない,説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ説明会への申込の目標人数が妥当ではない、適切ではない、高すぎるといった旨の内容又は低すぎるという旨の内容を訴求している
説明会申込,説明会申込,説明会申込が本当に課題か明らかにしたい,目標の数字を変更,説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ説明会への申込の目標人数を上方修正または下方修正するべきであるという旨を訴求している
説明会申込,説明会申込,説明会申込が本当に課題か明らかにしたい,他のプロセス数値の目標を上げる,説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ説明会への申込の人数以外の目標を上げるべきであるという内容を訴求している
説明会申込,説明会申込,説明会申込が本当に課題か明らかにしたい,求める学生のタイプを拡大,説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ企業が求めている説明会への申込をして欲しい学生のタイプを現在よりも広げることに言及している
説明会申込,説明会申込,説明会申込が本当に課題か明らかにしたい,実績を上げる余地がある,説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ市場環境や学生動向、直近の企業の傾向など、何かしらの根拠に基づいて、説明会への申込の人数を増やすことができるということに言及をしている
説明会申込,説明会申込,説明会申込に関するニーズ,数を絶対的に上げたい,"説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ説明会への申込の人数を上げていきたいという意志表示がされている。
なお、間接的に意志表示が読み取れる場合も含んでよい。"
説明会申込,説明会申込,説明会申込に関するニーズ,説明会の参加人数を増やしたい,"説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ説明会の1回開催あたりの参加人数を増やしたいという意志表示がされている。
なお、間接的に意志表示が読み取れる場合も含んでよい。"
説明会申込,説明会申込,説明会申込に関するニーズ,説明会の回数を増やしたい,"説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ説明会の開催回数を増やしたい/開催頻度を上げたいという意志表示がされている。
なお、間接的に意志表示が読み取れる場合も含んでよい。"
説明会申込,説明会申込,説明会申込に関するニーズ,求める学生が説明会に来てほしい ≒アンマッチな人の説明会参加を避けたい,"説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ説明会に、自社が求めるタイプの学生が参加してほしいという旨の言及がされている。
あるいは、過去に実施した説明会において求めるタイプの学生の参加がない・少ないという旨の言及がされている"
説明会申込,説明会申込,説明会の参加人数を増やせない要因,説明会に気付いていない,"説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ学生から知られていない・認知されていない・見つけてもらえない・発見されない、という言葉が発言されている。
あるいは、学生から知られたい・認知されたい・見つけてもらいたい・発見されたい、という言葉が発言されている"
説明会申込,説明会申込,説明会の参加人数を増やせない要因,エントリーはしたが説明会に行く気にならない,"説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ企業に対するエントリーは行われているが、説明会への申込は行われていないという旨の言及がされている。
そもそものエントリー数が少ないなど、エントリーにおける母集団形成に対する発言のみの場合は含まない。"
説明会申込,説明会申込,説明会の参加人数を増やせない要因,行くか迷っている (決め手がない),"説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ学生の認知・検討段階には上がっているが、申込は行われていないという内容に言及がされている。
そもそものエントリー数が少ないなど、エントリーにおける母集団形成に対する発言のみの場合は含まない。"
説明会申込,説明会申込,説明会の参加人数を増やせない要因,説明会の内容に興味が湧かない,"説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ学生が対象企業の説明会のコンテンツや説明会で実施される内容について興味が湧いていないという旨に言及されている。
または、そのように学生から認識されているという言及がされている。"
説明会申込,説明会申込,説明会の参加人数を増やせない要因,説明会の説明文が分かりづらい,"説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ企業が発信している説明会の説明文が学生にとって難解である・理解しづらいという訴求がされている。
または、そのように学生から認識されているという言及がされている。"
説明会申込,説明会申込,説明会の参加人数を増やせない要因,当たり障りのない コンテンツ,"説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ説明会での実施事項が普遍的である・ユニークでない・表層的であるという内容に言及されている。
または、そのように学生から認識されているという言及がされている。"
説明会申込,説明会申込,説明会の参加人数を増やせない要因,選考に直結していないように感じられている,"説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ説明会への参加が本選考と繋がっていない・繋がりが薄いという内容が訴求されている。
または、そのように学生から認識されているという言及がされている。"
説明会申込,説明会申込,説明会の参加人数を増やせない要因,自社で集客やコンテンツ制作ができない,"説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ説明会の集客や内容構築が自社のみの力では実施できない・難しい・やり方が分からないという内容に言及されている。
時間的・技術的な問題の双方を含む。"
説明会申込,説明会申込,説明会の参加人数を増やせない要因,説明会に行きたいが行けない,"説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ説明会に行きたいが、時間・場所・開催形式など何かしらの制約によって参加ができていないという内容に言及されている。
そもそも説明会に行く気がない場合は含まない。"
説明会申込,説明会申込,説明会の参加人数を増やせない要因,説明会の方式・場所・時期がターゲットと目標数に合っていない,説明会・合同説明会・合説に関する話題の中で、申込や予約に関する話題を話している。かつ説明会の開催方式・場所・時期についての制約が多い・適切でないという内容に言及されている。
